stars,across_uni_info
4,9.15333070232
5,9.64362621126
4,10.2007271132
4,9.03453369406
3,10.322023028
3,9.52683421394
1,9.69716812899
4,10.1271162148
4,10.6938493699
3,10.8926328118
5,9.35456349278
2,10.3935620289
2,9.57615298129
4,9.92324652731
2,9.6103828157
5,10.0640301958
5,9.5631364742
1,9.60713379875
5,9.49654618457
5,9.48955301633
1,9.22956467944
5,9.82865259212
4,9.28605416816
1,9.71047044674
4,9.53085595938
5,10.1159125681
2,10.6288508348
5,9.72748111636
4,9.7631231202
2,9.19938870663
5,9.23812304577
1,10.5693239156
2,9.11458611458
3,10.026964022
4,9.61911945111
2,10.0003897151
4,9.86027161571
5,10.3334381389
4,9.68236214728
4,9.22126667614
4,9.31221099392
3,10.4696115017
4,10.3824266161
2,9.56492272247
1,9.58049819833
5,9.23653194345
5,9.00645373959
3,10.420679072
1,10.4506430755
4,9.76979569077
4,9.68032162927
5,9.36345446776
3,9.5590488603
1,9.48936331489
4,9.95159386322
5,9.96921007628
4,10.1956844643
3,9.94196103522
4,9.79420314132
5,9.62016705432
5,9.84486680041
4,10.3750722075
2,10.0479040459
3,10.3805124351
2,9.73297614896
5,9.72311282711
4,9.31360260935
5,9.52035423531
5,9.6723013166
3,9.45726626842
4,9.77161372443
4,8.77593587515
3,9.44553601357
1,10.0899261434
5,10.337516469
3,9.62509014983
5,9.64768515868
2,9.76901565686
2,9.4528943836
3,9.68058099753
4,9.18939609794
5,9.36115520334
3,9.78315274637
5,9.42050355903
5,10.1487220416
4,9.73458230439
2,9.63620120982
5,10.4798902765
3,9.68270472768
1,9.61589002776
1,10.3540961232
4,9.55459520056
3,8.93827878132
3,9.9037455546
3,10.0902315885
3,9.09054612795
3,9.34474271601
4,9.7643979688799991
5,10.4429480106
5,9.66167044936
2,9.62799692007
4,11.1423540894
1,10.2673670674
5,9.83270991526
3,9.27236138621
3,9.62147160773
4,10.5281819344
5,9.54812249155
4,9.85934699836
5,10.0896482592
5,9.486120831
5,9.82702541861
5,10.1059617111
4,9.18229857696
5,9.53176630912
4,10.1538282029
5,9.86593864426
5,9.41697317239
3,9.73521406832
5,9.78558706174
3,9.54984279888
4,9.40953260632
3,9.33870811033
5,10.2026617226
4,9.18376538313
3,9.47827106758
1,9.61934893182
4,9.71484757061
5,9.95416005939
4,9.46966954797
5,8.84967613081
3,9.64412768482
4,9.80232923096
4,9.94200827269
4,11.2217153062
3,9.369491667
3,10.2053703565
5,10.1742755731
1,9.63734071829
4,9.50649357183
4,9.56401695619
4,9.70740007281
4,9.4880256617
5,9.40061872769
1,9.65722385178
4,9.45891914344
3,9.39462460924
5,10.4746447724
1,9.03239710954
4,9.56868510072
5,10.1253676153
4,9.92877014827
4,9.74215253779
3,11.140027696
4,10.1294182271
5,10.0018644417
4,9.44027001331
5,9.53959163995
4,10.4009816081
4,10.8174266487
1,9.66542780943
3,9.96450483901
4,9.24208889142
5,9.81551413618
5,10.171341419
3,10.1923550884
4,9.66382646324
3,9.65937949751
3,9.65811965674
4,9.99069411208
1,9.37900167491
4,8.46205283782
4,8.99667985184
4,10.2298437316
3,9.3271660207
5,9.62977132113
3,9.75195746034
3,9.57999461348
2,9.01957124753
5,9.78502283406
3,8.63763674406
4,9.46336215338
4,9.5633950669
5,9.58219072831
2,9.49633933382
4,9.68119748346
4,9.85901664612
2,10.3924807976
4,9.3177243703
4,10.2875200512
4,9.51218547966
4,9.58333047036
2,9.16179733538
1,9.10699783477
4,9.21922940935
5,11.0029390098
5,10.1230675936
3,9.4588046366
1,9.20793951226
4,9.80766884433
5,10.1088487633
4,9.18952494202
3,9.46796148232
5,9.31205834315
5,9.00418195906
5,10.1682672588
2,9.95022730051
3,9.52824664707
4,10.0463590844
4,9.80044686781
4,9.44742173256
2,10.175874603
5,9.14908555706
3,10.3669242548
5,10.249323584
5,9.39275142684
5,9.76720499835
5,9.49044098217
4,9.94307515076
1,10.2713174243
3,9.38196708819
1,10.556174882
5,9.45254224128
3,9.83953485594
3,9.82132137854
5,9.05109491047
3,9.68809972899
2,9.82846634297
5,9.82883976275
3,9.4073636684
5,10.1157387703
2,10.6478296034
3,9.89334043626
1,9.33062607831
3,9.88528734192
5,9.8560557658
4,9.90243925602
4,9.51281065583
4,9.58887001188
3,10.1363459781
3,10.0529018328
4,9.67620099259
4,9.39789965133
5,9.55864522234
5,10.5315905396
4,9.02073689876
4,10.2384592822
2,10.5245034191
4,9.92152649331
5,9.88784848765
3,8.73757717694
5,9.82257572627
1,9.27790436561
4,9.52821057422
4,9.56815814407
1,10.020052437
3,9.85808553407
5,9.2497096842
4,9.77092655645
4,9.66402828952
2,9.99918055901
4,9.23399182801
5,9.66235054699
1,10.3340352823
3,10.0946503252
4,9.25994122464
3,10.6916100945
4,9.11813560634
4,9.94587804337
5,10.3500100724
4,11.3552788959
3,11.1487283011
1,10.6066293171
4,9.00965588616
4,9.58114271039
4,9.09759635402
3,9.78401777162
2,9.38110997214
4,9.2219185312
1,10.9660921399
5,9.32105000384
5,9.56291025145
2,9.5104196619
4,9.4842437908
4,9.41037816309
