"index_curve","pinkie_curl","question_order","confidence","choice"
3,2,"shape_first",8,"shape"
5,2,"shape_first",6,"shape"
4,4,"height_first",5,"shape"
5,6,"height_first",7,"shape"
2,6,"height_first",7,"height"
6,7,"shape_first",7,"shape"
6,5,"shape_first",7,"shape"
4,3,"shape_first",7,"height"
1,1,"height_first",8,"shape"
3,7,"height_first",7,"height"
4,9,"height_first",5,"height"
5,6,"height_first",9,"shape"
3,5,"shape_first",7,"shape"
3,5,"height_first",9,"shape"
1,1,"shape_first",6,"height"
1,6,"shape_first",6,"height"
6,3,"height_first",8,"shape"
2,9,"shape_first",7,"height"
2,7,"height_first",5,"height"
3,5,"height_first",9,"shape"
5,1,"height_first",8,"shape"
2,7,"height_first",9,"shape"
1,3,"shape_first",5,"shape"
3,3,"shape_first",6,"shape"
4,3,"height_first",6,"height"
6,3,"shape_first",9,"shape"
1,5,"shape_first",9,"height"
6,4,"shape_first",7,"shape"
1,8,"height_first",5,"height"
2,2,"height_first",7,"height"
3,9,"shape_first",7,"height"
2,9,"shape_first",6,"shape"
4,7,"shape_first",7,"shape"
6,5,"shape_first",9,"shape"
6,3,"height_first",6,"shape"
6,6,"shape_first",9,"shape"
5,4,"height_first",7,"shape"
5,6,"height_first",7,"height"
3,3,"shape_first",8,"shape"
1,5,"shape_first",8,"shape"
5,5,"height_first",9,"shape"
2,8,"shape_first",7,"height"
3,4,"shape_first",7,"shape"
4,4,"shape_first",9,"shape"
1,4,"shape_first",3,"height"
5,1,"shape_first",9,"shape"
