word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
debería	10162	-6.15	0	1	1263	619	0	0	0	7
determinado	10161	-9.11	0	0	1263	619	0	0	0	11
reconocida	10150	-8.75	0	0	1162	747	0	0	0	10
creando	10147	-6.5	0	1	2537	154	0	0	0	7
pudiera	10145	-7.58	0	1	1810	85	0	0	0	7
asentamiento	10133	-10.41	0	0	1894	137	0	0	0	12
empleado	10133	-7.09	0	0	1421	119	0	0	0	8
inauguró	10129	-9.29	0	0	818	551	0	0	0	8
raúl	10128	-6.67	2	2	1162	111	0	0	0	4
administrativo	10122	-12.23	0	0	1894	128	0	0	0	14
mínimo	10121	-7.61	2	3	1238	12	0	0	0	6
formaron	10107	-7.1	0	0	756	104	0	0	0	8
empresario	10094	-9.15	0	0	1421	119	0	0	0	10
individuo	10092	-10.43	0	0	818	551	0	0	0	9
gris	10091	-5.62	2	2	571	116	0	0	0	4
guinea	10089	-7.54	0	0	571	81	0	0	0	6
perro	10086	-4.81	8	10	1810	287	0	0	0	5
situaciones	10085	-8.87	0	0	1300	174	0	0	0	11
representado	10082	-9.34	0	0	1162	747	0	0	0	12
retablo	10081	-7.2	0	1	1162	747	0	0	0	7
secuencia	10078	-8.31	0	0	1300	271	0	0	0	9
street	10077	-8.7	0	0	1300	58	0	0	0	6
realizados	10076	-7.25	0	0	1162	747	0	0	0	10
rivera	10075	-7.09	4	6	1162	70	0	0	0	6
hermanas	10074	-7.07	0	1	556	109	0	0	0	8
capítulos	10070	-9.91	0	0	2537	550	0	0	0	9
georgia	10069	-8.29	0	0	571	104	0	0	0	7
tiro	10066	-5.94	12	14	880	62	0	0	0	4
viernes	10064	-6.48	0	0	605	219	0	0	0	7
petróleo	10059	-10.71	0	0	1810	287	0	0	0	8
borde	10058	-5.81	4	6	691	114	0	0	0	5
verdes	10054	-5.69	0	1	605	173	0	0	0	6
depresión	10050	-7.12	0	0	1263	619	0	0	0	9
videojuegos	10047	-13.21	0	0	605	219	0	0	0	11
variantes	10036	-8.11	0	0	605	110	0	0	0	9
cristiano	10034	-9.14	0	0	2537	154	0	0	0	9
fundadores	10030	-7.88	0	0	756	91	0	0	0	10
pertenecía	10026	-9.37	0	0	1810	287	0	0	0	10
sir	10023	-4.44	18	21	1300	174	0	0	0	3
enfrentó	10019	-8.84	0	0	1421	237	0	0	0	8
dibujos	10018	-7.39	0	1	1263	352	0	0	0	7
daba	10017	-5.49	10	12	1263	75	0	0	0	4
cv	10003	-4.47	40	42	2537	1	1	1	1	2
héroe	10001	-7.81	0	1	556	5	0	0	0	5
dividida	9998	-7.79	0	0	1263	352	0	0	0	8
investigadores	9991	-12.04	0	0	818	551	0	0	0	14
esposo	9987	-6.52	2	2	1421	411	0	0	0	6
comenzar	9987	-6.61	0	0	2537	1146	0	0	0	8
pertenecen	9975	-10.26	0	0	1810	287	0	0	0	10
vieron	9975	-5.79	2	2	605	219	0	0	0	6
ejercicio	9968	-10.08	0	0	1421	33	0	0	0	9
drama	9967	-6.59	2	5	1263	25	0	0	0	5
almirante	9967	-9.0	0	0	1894	242	0	0	0	9
incorporó	9965	-10.06	0	0	818	551	0	0	0	9
lake	9964	-5.68	16	17	673	119	0	0	0	4
sinopsis	9963	-11.59	0	0	1300	174	0	0	0	8
puedan	9952	-7.14	4	5	1810	85	0	0	0	6
culturas	9952	-6.77	0	1	2537	160	0	0	0	8
venecia	9950	-6.94	0	0	605	173	0	0	0	7
brazo	9940	-5.9	4	5	691	84	0	0	0	5
andes	9935	-4.51	2	3	1894	200	0	0	0	5
excelente	9932	-7.35	0	0	1421	236	0	0	0	9
acabar	9929	-6.34	2	3	1894	201	0	0	0	6
by	9925	-3.97	18	22	691	3	3	3	3	2
seguro	9922	-6.71	2	3	1300	271	0	0	0	6
alberga	9920	-7.7	4	6	1894	242	0	0	0	7
registros	9919	-7.42	0	0	1162	747	0	0	0	9
variable	9919	-8.78	0	0	605	110	0	0	0	8
académico	9916	-10.09	0	0	1894	201	0	0	0	9
localizada	9903	-8.84	0	0	673	91	0	0	0	10
conservan	9902	-7.94	0	0	2537	1146	0	0	0	9
tiendas	9901	-6.82	2	3	880	62	0	0	0	7
constituyen	9900	-9.5	0	0	2537	1146	0	0	0	11
muros	9899	-5.41	8	9	1238	102	0	0	0	5
gustavo	9894	-8.25	2	3	571	81	0	0	0	7
maíz	9890	-5.88	2	2	1238	430	0	0	0	4
selva	9885	-6.29	4	5	1300	271	0	0	0	5
permitir	9884	-8.03	0	0	1810	287	0	0	0	8
z	9880	-4.3	0	3	41	41	41	41	41	1
luchar	9878	-5.98	4	5	673	57	0	0	0	6
aventuras	9873	-8.07	0	0	1894	33	0	0	0	9
nativos	9872	-6.52	2	3	435	111	0	0	0	7
matemáticas	9868	-9.04	0	0	1238	430	0	0	0	11
azúcar	9868	-7.09	0	0	1894	16	0	0	0	6
periódicos	9866	-10.12	0	0	1810	287	0	0	0	10
am	9863	-3.71	60	71	1894	99	99	99	99	2
moda	9860	-4.41	24	26	1238	238	0	0	0	4
tropicales	9860	-8.83	0	0	880	258	0	0	0	10
onda	9855	-5.84	2	7	473	11	0	0	0	4
cuarenta	9843	-7.71	0	0	2537	160	0	0	0	8
contienen	9843	-9.01	0	0	2537	1146	0	0	0	9
embajador	9839	-8.81	0	0	1421	119	0	0	0	9
boston	9836	-7.77	0	0	691	114	0	0	0	6
colón	9833	-4.49	4	4	2537	1146	0	0	0	5
endémica	9830	-7.66	0	0	1421	237	0	0	0	8
mancha	9829	-6.21	6	8	1238	430	0	0	0	6
convención	9829	-6.13	0	0	2537	1146	0	0	0	10
chico	9826	-5.89	8	9	2537	104	0	0	0	5
decoración	9826	-7.64	0	0	1263	619	0	0	0	10
