word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
agian	532	-5.14	6	7	2248	79	0	0	0	5
artekoa	532	-5.75	4	6	2248	475	0	0	0	7
gizakien	532	-8.64	0	0	1179	95	0	0	0	8
ikusita	531	-7.57	0	1	1136	102	0	0	0	7
ibiltzen	531	-6.24	0	1	1136	60	0	0	0	8
gorena	531	-5.49	0	2	1179	207	0	0	0	6
liolaemus	531	-12.47	0	0	895	139	0	0	0	9
zehazten	531	-7.74	0	0	731	234	0	0	0	8
baxua	530	-5.18	2	4	1694	559	0	0	0	5
kalifornia	530	-10.42	0	0	993	292	0	0	0	10
handiagoak	530	-9.03	0	0	1177	388	0	0	0	10
tarteko	530	-6.43	4	5	715	92	0	0	0	7
apirilean	530	-9.33	0	0	2248	78	0	0	0	9
mendian	530	-6.01	6	7	1153	257	0	0	0	7
aipagarrienak	530	-12.26	0	0	2248	92	0	0	0	13
bizkaian	530	-7.97	0	1	1694	351	0	0	0	8
osoaren	529	-6.26	0	0	650	98	0	0	0	7
pentsatu	529	-7.36	0	0	1002	116	0	0	0	8
zentral	529	-7.71	2	3	731	234	0	0	0	7
azkena	529	-6.67	0	2	2248	103	0	0	0	6
ezagutza	529	-8.38	0	0	2102	150	0	0	0	8
betiere	529	-8.39	0	0	1694	442	0	0	0	7
penintsulako	528	-12.21	0	0	1002	116	0	0	0	12
paulo	528	-7.07	8	10	1002	222	0	0	0	5
joanes	528	-7.82	4	5	455	104	0	0	0	6
iritzi	528	-6.39	2	4	1136	199	0	0	0	6
estua	527	-4.41	2	5	2102	383	0	0	0	5
eskubideen	527	-8.27	0	0	2102	383	0	0	0	10
nork	526	-6.11	10	12	460	97	0	0	0	4
ligan	526	-5.95	2	3	895	139	0	0	0	5
petrolio	526	-8.89	0	0	1002	116	0	0	0	8
kontzentrazio	526	-10.12	0	0	993	447	0	0	0	13
pablo	526	-8.74	4	4	1002	222	0	0	0	5
sariak	526	-5.1	6	7	929	272	0	0	0	6
laburra	526	-6.67	0	1	895	282	0	0	0	7
azpitik	526	-6.91	0	0	2248	103	0	0	0	7
ideologia	526	-8.77	0	0	1136	59	0	0	0	9
bateria	526	-6.04	2	3	1694	559	0	0	0	7
larriak	526	-5.42	8	9	895	282	0	0	0	7
zulo	526	-5.62	0	1	731	120	0	0	0	4
etimologia	525	-10.03	0	0	2102	104	0	0	0	10
me	525	-3.25	66	74	1153	257	257	257	257	2
osatzeko	525	-6.4	0	0	650	98	0	0	0	8
argazki	525	-7.53	0	1	2248	475	0	0	0	7
ikerketak	525	-8.42	0	0	1136	102	0	0	0	9
gehiagotan	524	-9.78	0	0	1179	219	0	0	0	10
world	524	-10.16	0	0	77	8	0	0	0	5
ordura	524	-6.17	2	3	650	161	0	0	0	6
txineraz	524	-8.16	0	1	715	120	0	0	0	8
gara	524	-3.8	36	41	1179	409	0	0	0	4
argitaratutako	524	-11.43	0	0	2248	475	0	0	0	14
saio	524	-4.72	12	15	929	272	0	0	0	4
nazionalaren	523	-9.92	0	0	460	192	0	0	0	12
zaion	523	-6.12	2	6	731	163	0	0	0	5
kontzertuak	523	-8.63	0	0	993	447	0	0	0	11
unescok	523	-10.23	0	1	383	51	0	0	0	7
frantziak	523	-7.18	0	0	478	106	0	0	0	9
julien	523	-6.84	4	5	455	37	0	0	0	6
lapurdiko	523	-9.55	0	0	895	282	0	0	0	9
okzitanieraz	522	-13.12	0	0	650	27	0	0	0	12
arrazoia	522	-7.93	0	1	2248	475	0	0	0	8
adierazpen	522	-8.88	0	0	2248	97	0	0	0	10
bakarrak	522	-7.03	0	1	1694	559	0	0	0	8
nahastu	522	-7.44	2	3	460	192	0	0	0	7
justizia	521	-8.61	0	0	455	37	0	0	0	8
auzitegi	521	-9.16	0	0	2248	186	0	0	0	8
duenez	521	-6.94	2	4	780	58	0	0	0	6
filosofo	521	-9.91	0	0	478	112	0	0	0	8
idazleak	521	-7.99	0	1	1136	59	0	0	0	8
arraun	520	-6.65	2	2	2248	475	0	0	0	6
man	520	-2.82	50	57	1153	365	0	0	0	3
zegoena	520	-7.61	2	3	731	234	0	0	0	7
eredua	519	-6.84	2	5	2102	647	0	0	0	6
otsailean	519	-8.88	0	0	650	29	0	0	0	9
handikoa	518	-7.06	0	2	1177	388	0	0	0	8
hilobia	517	-7.43	0	3	1177	238	0	0	0	7
saiatzen	517	-6.97	0	0	929	272	0	0	0	8
elkarteko	517	-7.47	0	0	2102	137	0	0	0	9
neguko	517	-7.59	0	0	460	100	0	0	0	6
inbaditu	517	-8.39	0	0	1136	287	0	0	0	8
dutena	517	-6.71	4	7	780	58	0	0	0	6
jeneral	517	-8.61	2	3	455	42	0	0	0	7
hungariako	517	-9.15	0	0	1177	53	0	0	0	10
crocidura	516	-10.15	0	0	333	22	0	0	0	9
sor	516	-4.23	26	29	929	148	0	0	0	3
egunkari	516	-8.16	0	0	2102	172	0	0	0	8
datorkio	516	-9.32	0	0	780	136	0	0	0	8
independente	515	-12.29	0	0	1136	287	0	0	0	12
kolorea	515	-7.21	2	4	993	447	0	0	0	7
zizkioten	515	-9.9	0	0	731	186	0	0	0	9
aipagarria	515	-9.64	0	0	2248	92	0	0	0	10
kostaldea	514	-8.14	0	0	993	447	0	0	0	9
txapelduna	514	-9.61	0	0	715	120	0	0	0	10
gaztela	514	-6.29	2	7	1179	409	0	0	0	7
frantziaren	513	-8.13	0	0	478	106	0	0	0	11
denis	513	-6.47	4	5	780	237	0	0	0	5
mendilerroa	513	-10.78	0	0	1153	257	0	0	0	11
gorputzaren	513	-9.7	0	0	1179	207	0	0	0	11
gehiengoa	513	-9.03	0	0	1179	219	0	0	0	9
zaharrak	513	-6.91	0	1	731	163	0	0	0	8
oinarritua	512	-9.08	0	0	650	49	0	0	0	10
ekintzak	512	-6.61	0	1	2102	107	0	0	0	8
materia	512	-6.38	2	3	1153	365	0	0	0	7
kristo	512	-6.55	2	2	993	66	0	0	0	6
nazional	512	-8.39	0	0	460	192	0	0	0	8
munduaren	512	-7.16	0	0	1153	174	0	0	0	9
lekuan	511	-6.36	4	6	895	224	0	0	0	6
euskadi	511	-7.78	2	2	2102	83	0	0	0	7
erreakzio	510	-8.17	0	0	2102	647	0	0	0	9
hobeto	510	-7.12	2	2	1177	201	0	0	0	6
baiona	510	-6.06	2	4	1694	559	0	0	0	6
zeelanda	509	-9.48	0	0	731	234	0	0	0	8
lapurdi	509	-8.93	0	1	895	282	0	0	0	7
eduardo	509	-8.62	0	1	2102	56	0	0	0	7
nazioartean	509	-9.34	0	0	460	192	0	0	0	11
saskibaloi	509	-12.93	0	0	929	272	0	0	0	10
behintzat	508	-8.96	0	0	1694	442	0	0	0	9
ganbera	508	-7.32	2	4	1179	409	0	0	0	7
apirilak	508	-8.91	0	1	2248	78	0	0	0	8
askotako	508	-8.1	0	0	2248	122	0	0	0	8
zatitan	508	-6.87	0	1	731	163	0	0	0	7
tasa	508	-5.52	18	19	715	92	0	0	0	4
krisi	508	-6.21	0	1	993	66	0	0	0	5
