word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
dive	12528	-3.99	16	19	1141	300	0	0	0	4
apprentice	12527	-9.21	0	0	1427	81	0	0	0	10
castile	12517	-7.54	0	1	1993	330	0	0	0	7
trek	12515	-6.18	2	2	953	241	0	0	0	4
corrupt	12514	-8.32	0	0	1993	876	0	0	0	7
expired	12512	-6.97	0	0	905	212	0	0	0	7
accompany	12511	-9.07	0	0	1427	133	0	0	0	9
carmen	12507	-6.21	2	2	1993	330	0	0	0	6
chaplain	12506	-8.92	0	1	1993	243	0	0	0	8
slip	12506	-5.47	12	14	2051	61	0	0	0	4
regain	12504	-6.54	4	5	1209	698	0	0	0	6
choral	12503	-6.38	0	2	1993	243	0	0	0	6
lorenzo	12502	-9.81	0	0	716	138	0	0	0	7
disabilities	12500	-11.07	0	0	1141	300	0	0	0	12
boots	12496	-5.36	12	13	1130	161	0	0	0	5
popularly	12493	-9.14	0	0	1506	199	0	0	0	9
workforce	12493	-9.69	0	0	537	71	0	0	0	9
knock	12492	-5.78	0	1	247	26	0	0	0	5
barrett	12491	-7.57	6	6	1130	267	0	0	0	7
mlb	12491	-6.06	6	9	1197	4	0	0	0	3
scenario	12490	-10.65	0	0	2051	114	0	0	0	8
afraid	12490	-7.8	0	0	1427	41	0	0	0	6
lahore	12489	-8.1	0	0	716	172	0	0	0	6
unreleased	12486	-10.99	0	0	281	155	0	0	0	10
turtle	12486	-6.93	0	1	953	57	0	0	0	6
marxist	12485	-7.5	2	2	1197	426	0	0	0	7
vic	12485	-3.84	18	22	353	128	0	0	0	3
multimedia	12484	-10.62	0	0	1197	78	0	0	0	10
hal	12483	-3.58	34	45	713	211	0	0	0	3
broncos	12481	-9.26	0	0	1130	181	0	0	0	7
packaging	12480	-8.58	0	0	1506	291	0	0	0	9
devised	12480	-6.67	2	2	1141	409	0	0	0	7
taxation	12479	-7.46	0	0	953	116	0	0	0	8
screens	12477	-7.14	0	1	2051	114	0	0	0	7
precious	12474	-8.27	0	0	1506	440	0	0	0	8
barker	12472	-5.77	10	11	1130	267	0	0	0	6
precursor	12467	-9.45	0	0	1506	440	0	0	0	9
bronx	12465	-7.44	0	0	1130	181	0	0	0	5
shields	12465	-7.41	0	1	2051	183	0	0	0	7
alto	12462	-5.78	6	8	1427	150	0	0	0	4
censorship	12455	-11.09	0	0	1993	76	0	0	0	10
cab	12455	-5.1	26	30	1993	330	0	0	0	3
suspects	12453	-7.65	0	1	2051	272	0	0	0	8
representations	12451	-11.86	0	0	1209	698	0	0	0	15
chamberlain	12450	-11.44	0	0	1993	243	0	0	0	11
refusing	12449	-7.2	0	0	1209	698	0	0	0	8
miracle	12444	-8.5	0	1	1197	180	0	0	0	7
qing	12440	-4.67	22	24	88	3	0	0	0	4
catholicism	12438	-11.41	0	0	1993	330	0	0	0	11
greenwich	12436	-11.8	0	0	626	151	0	0	0	9
barber	12433	-6.41	6	6	1130	267	0	0	0	6
statutory	12430	-9.08	0	0	2051	326	0	0	0	9
rented	12428	-4.5	2	2	1209	698	0	0	0	6
muscles	12428	-8.12	0	1	1197	78	0	0	0	7
pga	12426	-5.81	4	8	1506	2	0	0	0	3
airplane	12424	-9.62	0	0	1427	37	0	0	0	8
nassau	12414	-8.1	0	0	475	102	0	0	0	6
