word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
milyar	799	-8.01	2	2	2321	178	0	0	0	6
hambatan	799	-6.8	0	0	574	197	0	0	0	8
ideologi	799	-9.12	0	0	443	19	0	0	0	8
antonio	798	-9.01	0	0	1084	197	0	0	0	7
ibm	798	-5.76	8	11	443	16	0	0	0	3
aleksander	798	-10.45	0	0	1084	136	0	0	0	10
andy	798	-5.5	6	11	1084	197	0	0	0	4
obatan	798	-5.96	0	0	238	23	0	0	0	6
rantau	798	-6.91	4	5	707	174	0	0	0	6
foundation	798	-10.11	0	0	388	57	0	0	0	10
kriminal	798	-8.67	0	0	1667	59	0	0	0	8
semata	798	-5.84	2	2	1798	509	0	0	0	6
kotawaringin	798	-11.86	0	0	1667	282	0	0	0	12
wong	797	-4.63	28	30	311	35	0	0	0	4
unggul	797	-6.59	0	1	234	50	0	0	0	6
os	796	-4.01	70	82	238	11	11	11	11	2
scott	796	-7.23	0	0	1798	30	0	0	0	5
dakwah	796	-7.44	0	0	1545	140	0	0	0	6
berkunjung	795	-8.42	0	0	1627	752	0	0	0	10
tokugawa	795	-10.8	0	0	1272	98	0	0	0	8
kau	795	-4.42	32	41	1667	353	0	0	0	3
generation	794	-9.77	0	0	526	114	0	0	0	10
mengerjakan	793	-8.14	0	0	2321	1359	0	0	0	11
fraksi	793	-6.14	2	3	388	58	0	0	0	6
silinder	793	-8.38	0	0	1798	232	0	0	0	8
probolinggo	791	-11.11	0	0	2240	197	0	0	0	11
kongo	791	-5.8	4	5	1667	282	0	0	0	5
dilalui	791	-8.65	0	0	1545	1013	0	0	0	7
menyiapkan	791	-8.56	0	0	2321	1359	0	0	0	10
sirip	791	-6.88	12	13	1798	232	0	0	0	5
tawanan	791	-6.8	10	10	1272	243	0	0	0	7
mpr	790	-6.85	12	16	2321	7	0	0	0	3
unesco	790	-9.25	0	0	234	50	0	0	0	6
menjatuhkan	790	-8.75	0	0	2321	1359	0	0	0	11
shah	790	-6.03	8	10	1798	76	0	0	0	4
nyaman	789	-6.2	2	4	424	18	0	0	0	6
terkecil	789	-8.24	0	0	1272	506	0	0	0	8
bajak	789	-5.72	22	23	1627	341	0	0	0	5
sia	789	-3.45	58	75	1798	232	0	0	0	3
butir	789	-6.33	4	4	1627	141	0	0	0	5
neolophonotus	789	-15.15	0	0	424	74	0	0	0	13
diundang	789	-7.49	0	0	1545	1013	0	0	0	8
re	788	-2.92	88	104	707	219	219	219	219	2
dolichopeza	788	-13.88	0	0	1545	73	0	0	0	11
men	788	-2.5	42	48	2321	1359	0	0	0	3
carl	787	-5.96	16	20	699	157	0	0	0	4
amatir	787	-7.03	0	0	1084	69	0	0	0	6
sinode	787	-8.0	0	0	1798	232	0	0	0	6
keterampilan	787	-10.06	0	0	1667	655	0	0	0	12
mengisahkan	787	-8.48	0	0	2321	1359	0	0	0	11
terendah	787	-7.24	0	0	1272	506	0	0	0	8
roger	787	-6.63	0	1	707	101	0	0	0	5
jangkauan	787	-9.05	0	0	385	147	0	0	0	9
variabel	787	-10.58	0	0	172	36	0	0	0	8
seratus	787	-6.97	0	0	1798	509	0	0	0	7
minta	786	-5.11	10	13	2321	178	0	0	0	5
mongondow	786	-10.52	0	0	2321	145	0	0	0	9
grafis	786	-6.51	4	4	526	54	0	0	0	6
betawi	785	-7.18	0	0	1627	752	0	0	0	6
nyaris	785	-7.02	0	0	424	18	0	0	0	6
kemiri	785	-6.34	2	2	1667	655	0	0	0	6
segmen	785	-7.69	0	1	1798	509	0	0	0	6
ch	785	-3.05	78	85	699	116	116	116	116	2
fox	785	-4.58	8	10	388	57	0	0	0	3
kenyataannya	785	-9.68	0	0	1667	655	0	0	0	12
entitas	785	-8.08	0	0	404	43	0	0	0	7
bush	784	-5.88	10	11	1627	141	0	0	0	4
serba	784	-5.53	4	5	1798	509	0	0	0	5
mengerti	784	-6.8	0	0	2321	1359	0	0	0	8
org	784	-4.84	8	10	238	57	0	0	0	3
agregat	783	-8.48	0	1	1084	37	0	0	0	7
meledak	783	-7.29	2	2	2321	1359	0	0	0	7
mencerminkan	783	-9.84	0	0	2321	1359	0	0	0	12
penerangan	783	-7.46	0	0	2240	1205	0	0	0	10
anne	783	-5.17	2	4	1084	197	0	0	0	4
khawatir	783	-9.5	0	0	1667	26	0	0	0	8
massachusetts	783	-16.77	0	0	2321	439	0	0	0	13
ideal	782	-6.9	0	2	443	19	0	0	0	5
bungsu	782	-7.13	2	2	1627	141	0	0	0	6
termuda	782	-6.76	2	2	1272	506	0	0	0	7
zhou	781	-6.25	4	6	78	11	0	0	0	4
purwakarta	781	-10.92	0	0	2240	105	0	0	0	10
grobogan	781	-9.23	0	0	526	54	0	0	0	8
ui	781	-4.44	90	105	234	2	2	2	2	2
purbalingga	781	-10.69	0	0	2240	105	0	0	0	11
kamus	780	-5.93	6	9	1667	353	0	0	0	5
